Name,Count
:blue_square:,1
:red_triangle_pointed_down:,1
:skull_and_crossbones:,1
:bouquet:,1
:down_arrow:,1
:left_arrow_curving_right:,1
:shallow_pan_of_food:,1
:see-no-evil_monkey:,1
:sandwich:,1
:bubble_tea:,1
:right_arrow_curving_left:,1
:right_arrow_curving_down:,1
:burrito:,1
:call_me_hand:,1
:chart_decreasing:korone:chart_increasing:,1
:red_triangle_pointed_up:,1
:chart_increasing:korone:chart_decreasing:,1
:pencil:,1
:rat:,1
:raised_hand:,1
:hammer_and_wrench:,1
:dagger:,1
:handshake:,1
:hear-no-evil_monkey:,1
:chequered_flag:,1
:police_officer:,1
:police_car_light:,1
:chestnut:,1
:chicken:,1
:cyclone:,1
:custard:,1
:cup_with_straw:,1
:person:,1
