,Word,Count
465,face,63
466,aw,63
467,suck,62
468,show,62
469,check,62
470,haha,62
471,bet,62
472,sing,62
473,help,62
474,ig,61
475,each,61
476,ago,61
477,cant,61
478,except,60
479,sometimes,60
480,because,60
481,bring,60
482,-,60
483,/s,60
484,😀😀😀,60
485,such,60
486,write,60
487,:DDD,60
488,making,60
489,bread,59
490,fr,59
491,hell,59
492,whatever,59
493,head,59
494,5,59
495,point,59
496,goes,59
497,yesterday,59
498,came,58
499,tf,58
500,:DD,58
501,sus,57
502,jk,57
503,water,57
504,sorree,56
505,yubi,56
506,you're,56
507,psychology,56
508,LOL,56
509,mouse,56
510,man,55
511,later,55
512,half,55
513,"me,",55
514,late,54
515,😍😍😍,54
516,finished,53
517,😀,53
518,room,53
519,took,53
520,h,53
521,:)),53
522,asked,53
523,simp,53
524,English,53
525,wasn't,53
526,happy,53
527,tiktok,53
528,happened,52
529,seen,52
530,many,52
531,two,52
532,while,52
533,hololive,52
534,mad,52
535,10,52
536,>,52
537,sister,52
538,yE?,52
539,writing,52
540,rat,52
541,reading,51
542,hope,51
543,mostly,51
544,shy,51
545,fat,51
546,shes,51
547,study,50
548,lmaoo,50
549,Im,50
550,meet,50
551,yay,50
552,Bruh,50
553,ezpz,50
554,anime,50
555,anyone,50
556,change,50
557,comes,49
558,without,49
559,leg,49
560,apparently,49
561,hot,49
562,writer,49
563,it'll,49
564,0,49
565,wrote,49
566,understand,48
567,fact,48
568,instead,48
569,gave,48
570,words,48
571,story,48
572,feeling,48
573,snap,47
574,enough,47
575,ipad,47
576,broke,47
577,urself,46
578,started,46
579,sent,46
580,boring,46
581,B,46
582,dick,46
583,dum,46
584,entire,46
585,😀😀,46
586,telling,46
587,during,46
588,bruhhh,46
589,A,46
590,these,46
591,listening,46
592,games,46
593,kristi,45
594,gross,45
595,wake,45
596,gae,45
597,boys,45
598,soon,45
599,baby,45
600,period,45
601,r,44
602,old,44
603,start,44
604,miss,44
605,gura,44
606,stay,44
607,🥺🥺🥺🥺,44
608,happening,44
609,dying,44
610,wants,44
611,sike,44
612,acnh,43
613,once,43
614,date,43
615,lost,43
616,"u,",43
617,type,43
618,dw,43
619,ye?,43
620,dream,43
621,asking,42
622,thru,42
623,normal,42
624,reason,42
625,ass,42
626,ofc,42
627,waifu,41
628,Friday,41
629,maths,41
630,>:|,41
631,kept,41
632,wish,41
633,coming,41
634,sick,41
635,pick,41
636,6,41
637,whilst,40
638,speak,40
639,asleep,40
640,serious,40
641,missed,40
642,Ye,40
643,:[,40
644,ate,40
645,heard,40
646,who's,39
647,random,39
648,tried,39
649,straight,39
650,mind,39
651,bag,39
652,technically,39
653,suddenly,39
654,cover,39
655,join,39
656,food,39
657,"like,",39
658,bye,39
659,jasmine,39
660,gud,38
661,bday,38
662,prelim,38
663,e,38
664,self,38
665,=,38
666,uni,38
667,rokka,38
668,trap,37
669,ngl,37
670,geeter,37
671,earphones,37
672,body,37
673,add,37
674,world,37
675,text,37
676,high,37
677,joke,37
678,likes,37
679,cringe,36
680,ooo,36
681,past,36
682,run,36
683,explain,36
684,found,36
685,12,36
686,C,36
687,become,36
688,k,36
689,word,36
690,full,35
691,🤔🤔🤔,35
692,aka,35
693,we'll,35
694,everyday,35
695,"no,",35
696,answer,35
697,crying,35
698,😬😬😬,35
699,kiara,35
700,kms,35
701,boy,35
702,kill,35
703,hour,35
704,ended,34
705,money,34
706,🙂🙂🙂,34
707,hurt,34
708,alone,34
709,bought,34
710,rather,34
711,😃😃,34
712,relationship,34
713,towards,34
714,higher,34
715,yootoob,34
716,lmaoao,34
717,night,34
718,would've,34
719,cold,34
720,god,33
721,unit,33
722,learn,33
723,:D',33
724,feels,33
725,niamh,33
726,yall,33
727,felt,33
728,energy,33
729,scary,33
730,"too,",33
731,:((((,33
732,cursed,33
733,cut,33
734,👀💦💦💦,33
