0,0,0
Leon,08/07/2020,o ok
Leon,08/07/2020,do u mind if it's 720p though
Leon,08/07/2020,cos bruh 720p do be pretty shet
Leon,08/07/2020,o okay :D
Leon,08/07/2020,o
Leon,08/07/2020,yea that's a thing :thinking:
Leon,08/07/2020,how's it going so far
Leon,08/07/2020,o
Leon,08/07/2020,it's Wednesday tho
Leon,08/07/2020,and last week u were like
Leon,08/07/2020,next week I have summer school
Leon,08/07/2020,o ic
Leon,08/07/2020,oh you're a fan of summer school?
Leon,08/07/2020,name every extract
Leon,08/07/2020,is it like shakespear
Leon,08/07/2020,o
Leon,08/07/2020,:o
Leon,08/07/2020,idk tbh I've never read a proper shakespeare play
Leon,08/07/2020,in its full 16th century old english format
Leon,08/07/2020,o ok
Leon,08/07/2020,well we watched a movie on Romeo and Juliet in s3
Leon,08/07/2020,who dies
Leon,08/07/2020,Romeo and Juliet?
Leon,08/07/2020,yea
Leon,08/07/2020,she eats the poison and fakes her death
Leon,08/07/2020,ye
Leon,08/07/2020,"then romeo is like ""bruh my love is dead imma head out"""
Leon,08/07/2020,then Juliet wakes up and does the same thing
Leon,08/07/2020,ye it's ok
Leon,08/07/2020,o
Leon,08/07/2020,no
Leon,08/07/2020,how do u get it
Leon,08/07/2020,ye
Leon,08/07/2020,o ok
Leon,08/07/2020,are they limited
Leon,08/07/2020,o
Leon,08/07/2020,I have bamboo shoots
Leon,08/07/2020,u could have just asked
Leon,08/07/2020,why'd u buy 5 then
Leon,08/07/2020,o
Leon,08/07/2020,lol
Leon,08/07/2020,o
Leon,08/07/2020,what case
Leon,08/07/2020,is it like
Leon,08/07/2020,BTS case
Leon,08/07/2020,stan suga :heart_eyes:
Leon,08/07/2020,space
Leon,08/07/2020,like outer space
Leon,08/07/2020,?
Leon,08/07/2020,oh okay xdd
Leon,08/07/2020,u can show me when I come over
Leon,08/07/2020,o lol
Leon,08/07/2020,just buy 2 cases
Leon,08/07/2020,one with stent and a clean one
Leon,08/07/2020,ye ig xdd
Leon,08/07/2020,o
Leon,08/07/2020,why lol
Leon,08/07/2020,o lol
Leon,08/07/2020,well idm
Leon,08/07/2020,lmao it's fine lol
Leon,08/07/2020,what if I offer to pull ur weeds then xd
Leon,08/07/2020,o bruh okay lol
Leon,08/07/2020,I'll come over to watch u pull weeds
Leon,08/07/2020,o nice
